"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/lib/storage.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 5, 17
"/Users/nssanjeev/Documents/cosmi/next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/nssanjeev/Documents/cosmi/package-lock.json", "JSON", 0, 0, 0, 10039, 0, 0, 0, 0, 0, 1, 10040
"/Users/nssanjeev/Documents/cosmi/package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"/Users/nssanjeev/Documents/cosmi/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/nssanjeev/Documents/cosmi/postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nssanjeev/Documents/cosmi/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/tailwind.config.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 1, 2, 29
"/Users/nssanjeev/Documents/cosmi/tsconfig.json", "JSON with Comments", 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/nssanjeev/Documents/cosmi/types/lord-icon.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"Total", "-", 639, 42, 52, 10080, 5, 23, 9392, 275, 558, 2504, 23570
